Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Afghan,"216C Close Avenue
Toronto, ON M6K 2V5",Loga's Corner,(647) 761-0965,Under $10,,https://www.yelp.ca/adredir?ad_business_id=rfgln6-7WFCu7S7fOoqMdA&campaign_id=J2ReRvseOldb5s8dVW_XfA&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Flogas-corner-toronto&request_id=093c5a1d1b517e87&signature=55619727c3d0fc0fd10bb41c6e7b98137a576abe5bee45c02e14a617e32bbeeb&slot=0,43.640353,-79.435923
Afghan,"492 Danforth Avenue
Toronto, ON M4K 1P6",Christina's On the Danforth,(416) 463-4418,$11-30,christinas.ca,https://www.yelp.ca/adredir?ad_business_id=wcYar8rgLFA7Mu3wJUqEgQ&campaign_id=kUomcp54KOfpN4tnS6vcxw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fchristinas-on-the-danforth-toronto&request_id=19eaf8bbefa35a16&signature=53174ef55bc9960025a18c2e377b97a548208d172db7fcfd36afba605fd560b5&slot=0,43.678301,-79.349192
Afghan,"130 Queens Plate Drive
Unit 1
Toronto, ON M9W",Xawaash,(647) 849-3626,$11-30,xawaashrestaurant.com,https://www.yelp.ca/adredir?ad_business_id=pTbkdBDDKxNVjKUZ_6RAug&campaign_id=oG6uF1i4W8mfYjJJ4sRX6g&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fxawaash-toronto&request_id=19eaf8bbefa35a16&signature=27e5c30e553d21c0dc2f4c2152aa8ef30d1ff0ecbe30face27f93dcf20f41450&slot=1,43.71528,-79.592866
Afghan,"133 The West Mall
Unit 1
Toronto, ON M9C",Mazar Kabob,(416) 620-9898,$11-30,mazarkabob.com,https://www.yelp.ca/biz/mazar-kabob-toronto,43.619813,-79.561822
Afghan,"3595 Sheppard Avenue E
Toronto, ON M1T 3K8",Alanoor Afghan Kabob,(416) 297-7797,$11-30,alanoorafghankabob.com,https://www.yelp.ca/biz/alanoor-afghan-kabob-toronto,43.78084,-79.298867
Afghan,"1324 E Gerrard Street
Toronto, ON M4L 1Z1",Kabul Kabab House,(416) 466-6000,,,https://www.yelp.ca/biz/kabul-kabab-house-toronto,43.671476,-79.325575
Afghan,"32 Rexdale Boulevard
Toronto, ON M9W 5Z3",Baghlan Kebob & Bakery,(416) 401-0120,,baghlankabob.ca,https://www.yelp.ca/biz/baghlan-kebob-and-bakery-toronto,43.714205,-79.558327
Afghan,"45 Overlea Blvd
Toronto, ON M4H 1C3",Kandahar Kabab,(416) 422-0606,,kandaharkabab.com,https://www.yelp.ca/biz/kandahar-kabab-toronto-2,43.705146,-79.348679
Afghan,"1336 Danforth Avenue
Toronto, ON M4J 1M9",Hot Pot Cafe,(647) 349-9399,Under $10,,https://www.yelp.ca/biz/hot-pot-cafe-toronto-3,43.682317,-79.329156
Afghan,"3354 Keele Street
Toronto, ON M3J 1L5",Mumtaz Grill Restaurant,(647) 725-3337,,,https://www.yelp.ca/biz/mumtaz-grill-restaurant-toronto,43.745703,-79.487427
Afghan,"55 St Clair Avenue W
Toronto, ON M4V 2Y7",Shawarma Q,(647) 430-7266,,,https://www.yelp.ca/biz/shawarma-q-toronto-2,43.687206,-79.396635
Afghan,Scarborough Town Centre,Naan and Kabob,(647) 345-3435,$11-30,naanandkabob.ca,https://www.yelp.ca/biz/naan-and-kabob-toronto-3,43.775672,-79.258193
Afghan,"1801 Lawrence Avenue E
Scarborough, ON M1R 2X9",Naan and Kabob,(416) 285-8191,$11-30,nandk.ca,https://www.yelp.ca/biz/naan-and-kabob-scarborough,43.742424,-79.305327
Afghan,"259 Wellington St W
Toronto, ON M5V",Aanch Modernist Indian Cuisine,(647) 558-1508,$11-30,aanch.ca,https://www.yelp.ca/adredir?ad_business_id=SZuroTnXB7FwOlHp8Jahyg&campaign_id=X5p3E6hoNT4yMIjGRksi1A&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Faanch-modernist-indian-cuisine-toronto&request_id=19eaf8bbefa35a16&signature=68c3bddbeeda60be9fa77cb1de99b0dd9bcdbe4d0b7667ed48d7569b0cfcba85&slot=0,43.644708,-79.39067
Afghan,"259 Wellington St W
Toronto, ON M5V",Aanch Modernist Indian Cuisine,(647) 558-1508,$11-30,aanch.ca,https://www.yelp.ca/adredir?ad_business_id=SZuroTnXB7FwOlHp8Jahyg&campaign_id=ha132aKW__UD8D9Qtztgtw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Faanch-modernist-indian-cuisine-toronto&request_id=3e5ad9c4cbba3720&signature=2944e7a92a36a4215b28f71e1a9b232e21f8eff86f7efe78a9a9305f125727a6&slot=0,43.644708,-79.39067
Afghan,"492 Danforth Avenue
Toronto, ON M4K 1P6",Christina's On the Danforth,(416) 463-4418,$11-30,christinas.ca,https://www.yelp.ca/adredir?ad_business_id=wcYar8rgLFA7Mu3wJUqEgQ&campaign_id=kUomcp54KOfpN4tnS6vcxw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fchristinas-on-the-danforth-toronto&request_id=3e5ad9c4cbba3720&signature=51293cb9adab203ca06413b7db65f982692047167c91f87e8aafe809c59c39d4&slot=1,43.678301,-79.349192
Afghan,"1330 Gerrard Street
Toronto, ON M4L 3X1",Afghan Palace,(416) 834-3433,Above $61,,https://www.yelp.ca/biz/afghan-palace-toronto,43.671586,-79.325058
Afghan,"1050 Albion Road
Toronto, ON M9V 1A7",Aarya Kitchen,(647) 748-8700,,,https://www.yelp.ca/biz/aarya-kitchen-toronto,43.736792,-79.564153
Afghan,"2978 Eglinton Avenue E
Toronto, ON M1J 2E7",Afghan Chopan Resturant,(416) 289-3300,,afghanchopan.com,https://www.yelp.ca/biz/afghan-chopan-resturant-toronto,43.740284,-79.232551
Afghan,"880 Ellesmere Road
Unit 302
Scarborough, ON M1P 2W6",Ali Baba Cafe and Restaurant,(647) 834-4801,$11-30,,https://www.yelp.ca/biz/ali-baba-cafe-and-restaurant-scarborough,43.765813,-79.281899
African,"1408 Danforth Avenue
Toronto, ON M4J 1M9",Rendez-Vous,(416) 469-2513,$11-30,ethiopianrendezvous.com,https://www.yelp.ca/adredir?ad_business_id=0-yj2jtzLUHG2b7PpEHyog&campaign_id=yBtCwkrOtQEP86i8MJerkw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Frendez-vous-toronto&request_id=558b90200656d4e2&signature=843006c6cb6db70a971156db4b67022a3b12511e0dfec203f339b02eaeb873ee&slot=0,43.68265,-79.327598
African,"753A Queen St E
Toronto, ON M4M 1H3",Caribbean Sunset Restaurant and Bar,(647) 340-7607,$11-30,,https://www.yelp.ca/adredir?ad_business_id=lzrFRbdvpnLJze9VqJigLw&campaign_id=GUM-h3bjI2I5IprCMEsrUg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcaribbean-sunset-restaurant-and-bar-toronto&request_id=558b90200656d4e2&signature=081087d1171d2abdc36f759cf1a89e9fcf9daa8ef56037acd873cfacdad11fc0&slot=1,43.659178,-79.348032
African,"977 Bloor Street W
Toronto, ON M6H 1L7",African Palace,(416) 539-0259,$11-30,africanpalacetoronto.wordpres?,https://www.yelp.ca/biz/african-palace-toronto,43.661218,-79.429092
African,"785 Danforth Avenue
Unit B
Toronto, ON M4J 1L2",Le Plato,(416) 465-8893,,restaurantleplato.com,https://www.yelp.ca/biz/le-plato-toronto,43.679369,-79.341605
African,"1871 O'Connor Drive
Toronto, ON M4A 1X1",Masala Kitchen,(416) 752-2786,Under $10,masalakitchen.ca,https://www.yelp.ca/biz/masala-kitchen-toronto,43.722188,-79.303236
African,"1960 Lawrence Avenue E
Toronto, ON M1R 2Z1",Pili Pili,(647) 748-7454,$11-30,pili-pili.ca,https://www.yelp.ca/biz/pili-pili-toronto,43.745006,-79.298415
African,"145 Rexdale Boulevard
Toronto, ON M9W 1P7",Mushkaki's,(416) 747-6874,Under $10,mushkaki.com,https://www.yelp.ca/biz/mushkakis-toronto,43.711112,-79.567724
African,"812 Bloor Street W
Toronto, ON M6G 1L9",Pero Restaurant & Lounge,(416) 915-7225,$11-30,perorestaurant.com,https://www.yelp.ca/biz/pero-restaurant-and-lounge-toronto,43.662795,-79.422739
African,"366 Queen Street E
Toronto, ON M5A 1T1",Kiza,(647) 341-9327,,kiza.ca,https://www.yelp.ca/biz/kiza-toronto,43.655998,-79.363877
African,"296 Rexdale Boulevard
Toronto, ON M9W 1R6",Xamar Weyne,(416) 744-0447,,,https://www.yelp.ca/biz/xamar-weyne-toronto,43.714508,-79.582713
African,"685 Lansdowne Avenue
Toronto, ON M6H 3Y9",MamaLand Resto-Lounge,(416) 551-6558,$11-30,,https://www.yelp.ca/biz/mamaland-resto-lounge-toronto,43.658894,-79.442757
African,"2535 Warden Avenue
Toronto, ON M1W 2L6",Jikoni Grill,(647) 351-6333,$11-30,,https://www.yelp.ca/biz/jikoni-grill-toronto,43.790718,-79.313213
African,"1943 Avenue Road
Toronto, ON M5M 4A2",Scotthill Carribean Cuisine,(647) 691-6214,$11-30,scotthillcuisine.ca,https://www.yelp.ca/adredir?ad_business_id=8894q9WTvkYN6oNUt3fJ3g&campaign_id=GvdySO3FV9XFiTzXZZYU0Q&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fscotthill-carribean-cuisine-toronto-2&request_id=558b90200656d4e2&signature=28d923db0a5236a7728ba7d1b50dd46cafeaa4878ee5ee7b55ce9b42bb3d59d0&slot=0,43.733943,-79.419534
African,"4180 Kingston Road
Scarborough, ON M1E 2M4",Twice As Nice,(416) 281-6423,$11-30,twiceasnicefood.com,https://www.yelp.ca/adredir?ad_business_id=aWlvKKSAE6ZFPK3ij6ubqg&campaign_id=iaW2ne-DfJMtJMbwAY9low&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Ftwice-as-nice-scarborough&request_id=ad3f26caf8bad6fa&signature=cd6c0c3bfb4c8b2156e91b7fc5d987b86a266a99c6e0b199d20de582e320094a&slot=0,43.758947,-79.197739
African,"1136 College Street W
Toronto, ON M6H 1B5",Ilhas De Bruma,(416) 538-2015,$31-60,ilhasdebruma.ca,https://www.yelp.ca/adredir?ad_business_id=JrD90K-V1tfPWbWjPgSXmA&campaign_id=qetOk0GDgM6FIdcC1ZG4wQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Filhas-de-bruma-toronto&request_id=ad3f26caf8bad6fa&signature=854871c370de3bc6d8d7859d5518c96a2f965b58aaa83e1de6191e67d2cc7deb&slot=1,43.652334,-79.433657
African,"1180 Bloor Street W
Toronto, ON M6H 1N1",African Delight Cafe and Restaurant,,,,https://www.yelp.ca/biz/african-delight-cafe-and-restaurant-toronto,43.659536,-79.437431
African,"1812 Weston Rd
Toronto, ON M9N 1V5",Femi's Place,(416) 242-4987,,,https://www.yelp.ca/biz/femis-place-toronto,43.698976,-79.513479
African,"2428 Islington Avenue
Toronto, ON M9W 3X7",Golden Gate restaurant,(416) 745-1394,,,https://www.yelp.ca/biz/golden-gate-restaurant-toronto,43.723819,-79.559696
African,"1733 Eglinton Ave E
Ste 5
Toronto, ON M4A 1J8",Memories of Africa,(416) 223-7011,Under $10,memoriesofafrica.net,https://www.yelp.ca/biz/memories-of-africa-toronto,43.725543,-79.313151
African,"227 Church Street
Toronto, ON M5B 1Y7",Ethiopiques,(416) 623-7300,$11-30,ethiopiques.ca,https://www.yelp.ca/biz/ethiopiques-toronto,43.656342,-79.377043
African,"2849 Weston Road
Toronto, ON M9M 2S1",African Village,(416) 247-9819,,africanvillage.ca,https://www.yelp.ca/biz/african-village-toronto,43.720985,-79.537047
African,"45 Four Winds Drive
Toronto, ON M3J 1K7",Afro Spice,(416) 901-2376,,,https://www.yelp.ca/biz/afro-spice-toronto,43.763525,-79.499358
African,"326 Parliament Street
Toronto, ON M5A 2Z3",Quincy's Afro-kitchen and Bar,(647) 989-9127,,,https://www.yelp.ca/biz/quincys-afro-kitchen-and-bar-toronto-2,43.659812,-79.366309
African,"2677 Kennedy Road
Toronto, ON M1T 3H8",Zain's Bakery,(416) 298-7603,,zainsbakery.com,https://www.yelp.ca/biz/zains-bakery-toronto,43.796301,-79.293054
African,"10-12 Bradstock Road
Toronto, ON M9M 1M8",The Suya Spot,(416) 742-7892,$11-30,thesuyaspot.com,https://www.yelp.ca/biz/the-suya-spot-toronto,43.739728,-79.538552
African,"1408 Danforth Avenue
Toronto, ON M4J 1M9",Rendez-Vous,(416) 469-2513,$11-30,ethiopianrendezvous.com,https://www.yelp.ca/adredir?ad_business_id=0-yj2jtzLUHG2b7PpEHyog&campaign_id=yBtCwkrOtQEP86i8MJerkw&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Frendez-vous-toronto&request_id=ad3f26caf8bad6fa&signature=300b7a8d50fe498c692f8f15f6ece3b4cc6e686de706e443c182cfe976364cc2&slot=0,43.68265,-79.327598
African,"4180 Kingston Road
Scarborough, ON M1E 2M4",Twice As Nice,(416) 281-6423,$11-30,twiceasnicefood.com,https://www.yelp.ca/adredir?ad_business_id=aWlvKKSAE6ZFPK3ij6ubqg&campaign_id=iaW2ne-DfJMtJMbwAY9low&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Ftwice-as-nice-scarborough&request_id=15a350dc33c7d560&signature=9055fb6f05de5515dcc7e9ed758a1dfe008f92b857d00aa8469215d74e1f95b4&slot=0,43.758947,-79.197739
African,"1136 College Street W
Toronto, ON M6H 1B5",Ilhas De Bruma,(416) 538-2015,$31-60,ilhasdebruma.ca,https://www.yelp.ca/adredir?ad_business_id=JrD90K-V1tfPWbWjPgSXmA&campaign_id=dInazrLsMPnuYkek3L-rxw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Filhas-de-bruma-toronto&request_id=15a350dc33c7d560&signature=62cf150a01bfebc02c64ec7685d53b19b3133c410131caa60497044d018bfc34&slot=1,43.652334,-79.433657
African,"18 Rexdale Boulevard
Toronto, ON M9W 5Z3",Hamdi Restaurant,(416) 745-7888,$11-30,hamdirestaurants.com,https://www.yelp.ca/biz/hamdi-restaurant-toronto-2,43.714323,-79.557097
African,"356 Queen Street E
Toronto, ON M5A 1T1",Ryan Restaurant,(416) 546-7925,,,https://www.yelp.ca/biz/ryan-restaurant-toronto,43.655809,-79.364101
African,"832 Bay St.
Toronto, ON M5S 1Z6",Nando's Flame Grilled Chicken,(416) 925-8888,$11-30,nandos.ca,https://www.yelp.ca/biz/nandos-flame-grilled-chicken-toronto-3,43.661705,-79.38629
African,"2010 Lawrence Avenue E
Scarborough, ON M1R 2Z1",Sahan Restaurant,(416) 759-7242,$11-30,sahanrestaurant.ca,https://www.yelp.ca/biz/sahan-restaurant-scarborough,43.74503,-79.296375
African,"2708 Jane Street
Unit 5
Toronto, ON M3L 2E8",Panafest,(647) 430-0747,,,https://www.yelp.ca/biz/panafest-toronto,43.743037,-79.5141
African,"80 Ellesmere Road
Scarborough, ON M1R 4C2",Karibu Restaurant,(416) 385-1234,$11-30,,https://www.yelp.ca/biz/karibu-restaurant-scarborough,43.759277,-79.310422
African,"375 Donlands Avenue
East York, ON M4J 3S2",Simba Grill,(416) 429-6057,$11-30,simbagrill.ca,https://www.yelp.ca/biz/simba-grill-east-york,43.693387,-79.342265
African,"671 Danforth Avenue
Toronto, ON M4J 1L3",Nandos Danforth,,$11-30,,https://www.yelp.ca/biz/nandos-danforth-toronto,43.678817,-79.34451
African,"377 Donlands Ave
Toronto, ON M4J 3S1",Rajkapuri's Paan & Snacks,(416) 425-6685,,,https://www.yelp.ca/biz/rajkapuris-paan-and-snacks-toronto,43.693388,-79.342576
African,"2761 Markham Road
Unit 31
Toronto, ON M1X 0A4",Chick Fiesta,(647) 348-3447,$11-30,chickfiesta.ca,https://www.yelp.ca/biz/chick-fiesta-toronto-4,43.821343,-79.246295
African,"2957 Lake Shore Boulevard W
Toronto, ON M8V 1J5",Caribbean Queen Roti Hut,(416) 503-3419,Under $10,,https://www.yelp.ca/adredir?ad_business_id=gQjSMZYAeJalH6nNfj6Gtw&campaign_id=9NmnLD04rm6kjHdg9BQ4PA&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcaribbean-queen-roti-hut-toronto&request_id=15a350dc33c7d560&signature=69384d32e7ba5a0fa03866ed35d457b8d6537ce2b319d8fda058de51bcc17d8c&slot=0,43.600536,-79.50586
African,"753A Queen St E
Toronto, ON M4M 1H3",Caribbean Sunset Restaurant and Bar,(647) 340-7607,$11-30,,https://www.yelp.ca/adredir?ad_business_id=lzrFRbdvpnLJze9VqJigLw&campaign_id=Tdq3N6a8lzfeidVC0555zw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcaribbean-sunset-restaurant-and-bar-toronto&request_id=76b5eb6430b83d28&signature=12264f3695935b916898f648f319a7a96c19f533618a40b43cc73fe6750855c3&slot=0,43.659178,-79.348032
African,"2957 Lake Shore Boulevard W
Toronto, ON M8V 1J5",Caribbean Queen Roti Hut,(416) 503-3419,Under $10,,https://www.yelp.ca/adredir?ad_business_id=gQjSMZYAeJalH6nNfj6Gtw&campaign_id=9NmnLD04rm6kjHdg9BQ4PA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcaribbean-queen-roti-hut-toronto&request_id=76b5eb6430b83d28&signature=72a2b4ae6c181f5ee17568311ea5a4e98a7887641482d6f11330a505e5c7753a&slot=1,43.600536,-79.50586
African,"3537 St Clair Avenue E
Toronto, ON M1K 1L6",R Square Restaurant & Bar,(416) 546-6656,,rsquarerestaurant.wixsite.com?,https://www.yelp.ca/biz/r-square-restaurant-and-bar-toronto-5,43.716017,-79.262349
African,"429 Donlands Ave
East York, ON M4J 3S2",Talk of the Town Restaurant & Bar,(416) 429-8255,,,https://www.yelp.ca/biz/talk-of-the-town-restaurant-and-bar-east-york,43.694666,-79.342895
African,"939 Eglinton Ave E.
Toronto, ON M4G 4E8",Nando's Flame Grilled Chicken,(416) 425-9292,$11-30,nandos.ca,https://www.yelp.ca/biz/nandos-flame-grilled-chicken-toronto-2,43.713034,-79.359754
African,"849 Albion Road
Toronto, ON M9V 1H2",Afro Continental Bar and Grill,(416) 519-6740,,,https://www.yelp.ca/biz/afro-continental-bar-and-grill-toronto,43.734235,-79.558748
African,"235 Dixon Road
Etobicoke, ON M9P 2M5",Istar Restaurant,(416) 247-5624,$11-30,istarrestaurant.com,https://www.yelp.ca/biz/istar-restaurant-etobicoke,43.697632,-79.544214
African,"2007 Laurence Avenue W
York, ON M9N 3V1",New Banadir Restaurant,(416) 242-7058,,,https://www.yelp.ca/biz/new-banadir-restaurant-york,43.700411,-79.509694
African,"925 Weston Road
York, ON M6N 3R4",Idlove Restaurant,(416) 242-9679,,idloverestaurant.com,https://www.yelp.ca/biz/idlove-restaurant-york,43.683639,-79.48129
African,"272 Parliament Street
Toronto, ON M5A 3A4",Amiin Restaurant,(416) 363-8881,,,https://www.yelp.ca/biz/amiin-restaurant-toronto,43.658376,-79.365735
African,"272 Parliament St
Toronto, ON M5A",Dire Dawa Restaurant,(416) 703-8815,,,https://www.yelp.ca/biz/dire-dawa-restaurant-toronto,43.658376,-79.365735
African,"10 Belfield Road
Etobicoke, ON M9W 1G1",Buka gourmet foods,(647) 970-4644,,,https://www.yelp.ca/biz/buka-gourmet-foods-etobicoke,43.704544,-79.564593
African,"753A Queen St E
Toronto, ON M4M 1H3",Caribbean Sunset Restaurant and Bar,(647) 340-7607,$11-30,,https://www.yelp.ca/adredir?ad_business_id=lzrFRbdvpnLJze9VqJigLw&campaign_id=GUM-h3bjI2I5IprCMEsrUg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcaribbean-sunset-restaurant-and-bar-toronto&request_id=2e779018cc867018&signature=e865d4f18d03c8af092803bbdce73db9cf06421d8605fc18aa3e61fb52b9991a&slot=0,43.659178,-79.348032
African,"4180 Kingston Road
Scarborough, ON M1E 2M4",Twice As Nice,(416) 281-6423,$11-30,twiceasnicefood.com,https://www.yelp.ca/adredir?ad_business_id=aWlvKKSAE6ZFPK3ij6ubqg&campaign_id=iaW2ne-DfJMtJMbwAY9low&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Ftwice-as-nice-scarborough&request_id=2e779018cc867018&signature=62e39d889259bfcce148d6f9fed599854719ffb5f605d9767f44f0013762be7f&slot=1,43.758947,-79.197739
African,"150 N Queen Street
Unit D1
Etobicoke, ON M8Z 2C7",Nando's,(416) 620-9229,$11-30,nandos.ca,https://www.yelp.ca/biz/nandos-etobicoke-4,43.619962,-79.554268
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,(416) 480-0202,$11-30,stlouiswings.com,https://www.yelp.ca/adredir?ad_business_id=INJ-1LC57mpAsNspyb3CfA&campaign_id=21aLgKLRCkW6gy-h5oy5Ug&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fst-louis-bar-and-grill-toronto&request_id=da49383e4557c2c0&signature=a1c372ad4d428883e602130d153b40712f8d72f164e9c476b83833d2793a510f&slot=0,43.701559,-79.39763
American (Traditional),"577 College Street
Toronto, ON M6G 1B2",Sidecar,(647) 484-2764,$31-60,sidecarrestaurant.ca,https://www.yelp.ca/adredir?ad_business_id=TLMysu1mWiLEslCBon5W1g&campaign_id=OKE56217kHD1J1EVdJRfNQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fsidecar-toronto&request_id=da49383e4557c2c0&signature=10d4da333a821491e3f3871c640b8c3228dc4372e46eaefbc70610c817285ae9&slot=1,43.6552,-79.413083
American (Traditional),"699 Saint Clair Avenue W
Toronto, ON M6C 1B2",The Stockyards,(416) 658-9666,$11-30,thestockyards.ca,https://www.yelp.ca/biz/the-stockyards-toronto,43.681346,-79.426147
American (Traditional),"21 Saint Clair Avenue W
Toronto, ON M4V 1K6",Union Social Eatery,(416) 901-3456,$11-30,unionsocial.ca,https://www.yelp.ca/biz/union-social-eatery-toronto,43.687795,-79.395069
American (Traditional),"369 Roncesvalles Avenue
Toronto, ON M6R 2M8",Bistro Bela,(647) 351-3005,,,https://www.yelp.ca/biz/bistro-bela-toronto,43.650098,-79.450221
American (Traditional),"88 Ossington Ave
Toronto, ON M6J 2Z3",Omaw,(647) 567-6629,,omaw.ca,https://www.yelp.ca/biz/omaw-toronto-2,43.646126,-79.419673
American (Traditional),"650 Spadina Avenue
Toronto, ON M5S 2H7",Pig Out BBQ,(416) 792-6120,$11-30,pigoutbbqonline.ca,https://www.yelp.ca/biz/pig-out-bbq-toronto,43.663182,-79.402567
American (Traditional),"218 Yonge Street
Toronto, ON M5B 2H6",Hendriks Restaurant & Bar,(416) 593-9667,$31-60,hendriksrestaurant.com,https://www.yelp.ca/biz/hendriks-restaurant-and-bar-toronto,43.655536,-79.380934
American (Traditional),"1168 Kennedy Road
Toronto, ON M1P",Fanzone Wings & Ribs,(416) 551-0415,$11-30,fanzonewingsandribs.com,https://www.yelp.ca/biz/fanzone-wings-and-ribs-toronto,43.753057,-79.276234
American (Traditional),"3313 Bloor Street W
Toronto, ON M8X 1E7",The Bull Pub and Grill,(416) 239-9484,,thebullpubandgrill.ca,https://www.yelp.ca/biz/the-bull-pub-and-grill-toronto-2,43.645249,-79.520259
American (Traditional),"9 1/2 Church Street
Toronto, ON M5E 1M2",Loaded Pierogi,(647) 344-0088,$11-30,loadedpierogi.ca,https://www.yelp.ca/biz/loaded-pierogi-toronto,43.647901,-79.373407
